id,last_name,first_name,middle_name,agency,division,position
51, whitleymarshall ivan, , , superior court of california, alameda county, judge
52, whitehead, denise, lee, superior court of california - fresno county, , superior court judge
53, white, trevor, s, contra costa superior court (judge), , 
54, white, thomas, r, los angeles county superior court, , judge
55, white, stephen, w., superior court of california county of sacramento, , judge
56, white, randall, d., superior court of california, riverside, judge
57, white, kathleen, m., superior court of california, yolo county, superior court judge
58, white, elizabeth, allen, los angeles superior court judge, , 
59, white, colleen, toy, superior court of california, county of ventura, judge
60, white-brown, gloria, lynn, superior court of california county of los angeles, , indge
61, wheeldin, anthony, , county of sonoma commissioner, , 
62, wheatley, diana merline, , los angeles superior court, , judge
63, west, katrina, , superior court of california, county of san bernardino/central district, superior court judge
64, west, carl, j., los angeles superior court judge, , 
65, wesley, david, s., los angeles superior court, , judge
66, werdegar, kathryn, mickle, california supreme court, , associate justice
67, wells, kerry, , san diego superior court, n/a, judge of the superior court
68, wells, dale, richard, riverside superior court, riverside county- indio branch, judge of the superior court
69, welch, james, michael, superior court of california, county of san bernardino probate division, superior court judge
70, weintraub, debre katz, atz, los angeles judicial  judge, judge superior court, court
71, weiner, marie, s, superior court of california county of san mateo, n/a, judge
72, weinbach, elia, , los angeles superior court, stanley mosk famility 2d, superior court judge
73, weil, edward, george, superior court contra costa county, , judge
74, webster, allen joseph, jn, los angeles superior court superior court judge, , 
75, weber, joan, p., san diego superior court, n/a, judge of the superior court
76, weathers, theodore, michael, san diego superior court, n/a, judge of the superior court
77, watson william, bruce, , humboldt county superior court judge, , 
78, waters, sharon, joan, superior court of california, county of riverside, judge
79, wasserman, fumiko, h, los angeles superior court, , judge
80, warner, david, p, san joaquin county superior court judge, , 
81, wapner, frederick, nathan, superior court, los angeles county, judge
82, waltz, james, l., superior court orange county, , superior court judge
83, walton, laura, raene, california superior court judge, , 
84, walton, f., dana, mariposa county superior court, , superior court judge
85, walsh, timothy, r., san diego superior court, n/a, judge of the superior court
86, walsh, henry, j., superior court of california, county of ventura, judge
87, walsh, brian, connor, superior court of california, santa clara co., judge
88, walmark, richard, foster, los angeles superior court   los angeles superior court judge, , 
89, walker, hugh, arnold, superior court, california alameda county, judge
90, wagoner, james, robert, superior court, el dorado county, judge
91, wachob, charles, david, placer county superior court, , superior court judge
92, vortmann, paul, anthony, tulare county superior court, , judge
93, von kalinowski, sim, , san diego superior court, n/a, judge of the superior court
94, volkmann, timothy, robert, superior court sanota court county, , judge
95, vogt, john, f, superior court of california, county of fresno, judge
96, vlavianos, richard, a, superior cout of califormia, county of san joaquin, judge
97, virga, michael, , superior court of california county of sacramento, , judge
98, villarreal, lydia, marie, superior court of california superior court judge, montaray country, 
99, yillos de longonia, mary lou, g., county of los angeles superior court   judge superior court, central district, 
100, villapudua, xapuri, brandt, san joaquin county superior court, , superior court judge
101, villalobos, michael, , los angeles superior court nontheast district judge, , 
102, villalobos, anthony, rene, superior court of california, riverside county desert branch, judge
103, vilardi, alice, , superior court, hayward hall of justice, judge
104, vicencia, michael, paul, los angeles superior court, , judge
105, verderosa, michele, tajang, superior court of california county of lassen, , superior court judge
106, verastegui, yvette, , los angeles superior court, los angeles superior court, superior court judge
107, vega, louie, l., superior cort of california, county of kem, judge
108, veals, craig, elliott, los angeles superior court, , judge
109, vazquez, carlos, enrique, los angeles superior court, , superior court judge
110, vasquez, emily, e., superior court of california, , judge
111, vargas, luis, r., san diego superior court, n/a, judge of the superior court
112, vanderet, robert, c., los angeles superior ct. judge, central district, 
113, vander lans, judith, ann, los angeles superior court, , judge
114, vander feer, john, peter, superior court of the state of california, county of san bernadino, judge
115, van sicklen, steven, read, los angeles county superior court - superior court judge, , 
116, van oss, terrence, r, superior court of california, county of san joaquin, judge of the superior court
117, van camp, brian, r., superior court of california county of sacramento, , judge
118, valentine jr., leo, , san diego superior court, n/a, judge of the superior court
119, valencia, jesus, , santa clara county superior court, , judge
120, vrie, phillip, relyea, san joaquin county superior court, , judge
121, uranga, carlos, a, l. a. superior court judge, , 
122, unger, cynda, riggins, soland county superior court, judicial office no.2 (dept.5), superior court judge
123, ulmer, richard, b, superior court san francisco, , judge
124, ulloa, juan, (nmn), superior court, imperial county, judge
125, ulfig, cynthia, leigh, superior court of california los angeles, , 
126, uhler, ingrid, adamson, superior court of california county of san bernardino, fontana district, superior court judge
127, tynan, michael, anthony, superior court - state of califonia, los angeles county, judge
128, twisselman ii, kenneth, c., superior court of california, county of kern, judge
129, twiss robert m., , , superior court of california, sacramento county, superior court judge
130, twede, peter, b, superior court of california county of glenn, , judge
131, turner, paul, arthur, court of appeal, second appellate district, justice
132, turner, jerold, l., superior court of california, county of kern, judge
133, tsenin, ksenia, kay, san francisco superior court, , judge
134, true john, marshalliii, , alameda county superior court, , judge
135, trice, john, alexander, state of calif. s.l.c. county sup. ct., , superior court judge
136, treu, rolf, michael, superior court, county of los angelesdept 58, judge
137, trentacosta, robert, j., san diego superior court, n/a, judge of the superior court
138, treat, charles, stephen, superior court, , 
139, trask, gloria, connor, superior court of california, county of riverside, judge
140, trapp, randa, , san diego superior court, n/a, judge of the superior court
141, tranbarger, gary, b., superior court of california, county of riverside, judge
142, torribio, john, albert, los angeles superior court judge, , 
143, torrealbia, shelly, b., los angeles county superior judge, , 
144, toohey, richard, francis, superior court - orange county, , superior court judge
145, tondreau, patrick, eugene, tondreau patrick eugene, santa clara county, superior court judge
146, tomberlin, john, m, superior court, county of san bernardino, superior court judge
147, toff, ronald, i., superior court, santa clara county, judge
148, todd kathryn doi, , , court of appeal, second appellate district, justice
149, tobias harry, harry j, , superior court superior court judge, , 
150, titus, patricia, j., los angeles superior court, department 6, judge
151, tisher, francisca, p., napa superior court, , superior court judge
152, tipton, leland, herbert, superior court - bellflower courthouse, southeast, judge
153, tillmon, bobbi, , los angeles superior court, , judge
154, tigar, jon, steven, alameda county superior court, , judge
155, thorbourne, raoul, m, superior court of california, sacramento, judge
156, thomsen, b, scott, superior court of california county of nevada, , judge
157, thompson stanley, trina, lynn, alameda county superior court   superior court judge, felony jury trials and domestic violence, 
158, thompsonsandra ann, , superior court, los angeles superior court   superior court judge, , 
159, thompson, nicholas, six, superior court orange county, north justice center, superior court judge
160, thompson, john, m., san diego superior court, east county division, judge of the superior court
161, thompson, jeffrey, a., superior court of callfornia, county of colusa, judge
162, thompson, david, arthur, orange county superior court   superior court judge, , 
163, thomasson, lauren, p., superior court of the state of california, county of san joaquin, judge of the superior court
164, thistlethwaite jamie, ellen, , sonoma county superior ct.   judge, , 
165, thierbach, christian, f., superior court of californa-country of riverside, , judge
166, tharpe, daniel, tyler, fresno superior court, , judge
167, terrell, michael, , superior court, los angeles, judge
168, taylor, timothy, b., san diego superior court, n/a, judge of the superior court
169, taylor, eric, charles, los angeles superior court judge, torrance-southwest district, district judge
170, taylor, chet, l., los angeles superior court, , judge
171, tavill, gregory, s., superior court of california, san bernardino county juvenile district, judge
172, tarter, donna, l., superior court of california, county of kings, judge
173, tarle, norman, perry, los angeles county superior court, , judge
174, tansil, mark, , california superior court, sonoma county, superior court judge
175, tangeman, martin, john, superior court of the state of california, county of san luis obispo, judge
176, tang, julie, , sf sup.ct judge, , 
177, tanaka gary y., , , los angeles superior court judge, south central district, 
178, tamietti, robert, lynn, superior court of california county of nevada, , judge
179, takasugi, jon, robert, los angeles superior court, , superior court judge
180, takaichi, drew, c., superior cort of calfornia, santa clara county, judge
181, tafoya, robert, s, superior court of california, county of kern, judge
182, szumowski, david, michael, san diego superior court, n/a, judge of the superior court
183, symons, ariadne, , superior court state of california, santa cruz county, superior court judge
184, swope iii, virgil, raymond, superior court of california county of san mateo, , judge
185, sweet, michael, warren, superior court sacramento, department 20, superior court judge
186, sweet, andrew, edward, marin county superior court judge, , 
187, swain, leslie, ann, superior court, los angeles county, judge
188, suzuki, paul, ted, superior court of california judge, central district, judge
189, suzukawa, steven, craig, court of appeal, second appellate district, justice
190, sumner, allen, howard, saceamento county superior court, , judge
191, sullivan, donald, james, superior court - san francisco - judge, , 
192, sugiyama, john, hideki, superior court, contra costa county, judge
193, sueyoshi, richard, k, superior court of california county of sacramento, , judge
194, styn, ronald, l, san diego superior court, n/a, judge of the superior court
195, sturgeon, eddie, c., san diego superior court, n/a, judge of the superior court
196, stull, victor, r, superior court of california, county of san bernardino barstow district, superior court judge
197, stuebbe, jon, e, superior court of california, county of kern, judge
198, stuart, david, w., l.a. county superior court, , 
199, strobel, mary, h, los angeles superior court, , judge
200, streger, elaine, , superior court orange county   judge, , 
201, strauss, richard, e.l, san diego superior court, n/a, judge of the superior court
202, stratton, maria, elena, los angeles superior court, judg, judge of the superior court
203, stracener, warren, curtis, superior court, el dorado county, judge superior court
204, stout, dean, thomas, superior court of california count of inyo   judge, , 
205, stotler, james, allen, superior court orange county, , 
206, stone, steven, edward, san diego superior court, n/a, judge of the superior court
207, stone, rodney, g., napa superior court, , judge
208, stone, richard, a, los angeles superior court judge, , 
209, stoelker, james, louis, santa clara county superior court, superior court judge, 
210, stock, nancy, wieben, superior court- county of orange, , superior court judge
211, stewart, william, david, superior court of california, county of los angeles, judge
212, stewart, john, kennedy, san francisco superior court judge, , 
213, sterne, colleen, kathryn, santa barbara county superior court, , judge
214, stern, michael, larwed, los angeles superior court judge., , 
215, stern, jacqueline, marion, san diego superior court, n/a, judge of the superior court
216, sterling, william, nathan, los angeles superior court judge, , 
217, stephenson, franklin, m, superior court, san joaquin county, judge
218, steiner, scott, bf a deputy, superior court of california, county of orange, superior court judge
219, steinberg, marjorie, s., los angeles superior court judge, , 
220, steffen, scott, t, stanislaus county superior court, , judge
221, steele ja, james andrew, , los angeles superior court, van nuys, judge of the superior court
222, stashyn, donna, l, solano county superior court, , trial judge
223, stark, nancy, d, state of california, , superior court judge
224, stanford, richard, bf n., superior court orange county judge, , 
225, stainfield, bryan, k., superior court of california, county of kern, judge
226, stafford jr., charles, everett, superior court state of california, county of riverside, judge of the superior court
227, staffel, timothy, j., santa barbara county superior court, santa maria division, judge of the superior court
228, speer susan, m., , los angeles superior court  judge, , 
229, spanos, george, w, superior court of california, county of contra costa, superior court judge
230, spain, julia, angeline, alameda county superior court - judge, , 
231, soto, philip, l., l.a. superior court juedge, , judge
232, sotelo, david, , los angeles superior court judge, , 
233, sortino, douglas, warren, los angeles county superior court, , judge
234, sontag, stephanie, , san diego superior court, n/a, judge of the superior court
235, somers, john, stanley, superior court of california, county of kern, judge
236, soconzano, kadtryn, ann, los angeles superior court, west lay, 
237, solner, michael, charles, superior court of california, county of los angeles, judge
238, soldani, joseph, a, madera county superior court, , superior court judge
239, sokolov, thomas, r, superior court of the state of california, los angeles county, superior court judge
240, sokol, frank, donald, superior court of california county of lassar, super, superior court judge
241, sohigian ronald, m., , superior court of california, county of los angeles, judge of the superior court
242, so, kenneth, k., san diego superior court, n/a, judge of the superior court
243, snauffer, mark, w, superior court of california, county of fresno, judge
244, smyth, michael, thomas, san diego superior court, n/a, judge of the superior court
245, smith, winifred, y., alameda superior court superior court judge, , 
246, smith-steward, tamela, lynn, superior court of california, sacramento, judge
247, smith, spurgeon, emmerson, los aneles superior court, , judge
248, smith, , bruce, superior court state of california, county of fresno, superior court judge
249, smith, clay, m., superior court county of orange judge, , 
250, smiley, john, , superior court of california judge, , 
251, smerling, terry, , los angeles county superior court, , judge
252, slough, marsha, g., superior court of california county of san bernardino, civil division, superior court judge
253, skyers, ronald, victor, , l.a. superior court, judge
254, skillman, jonathan, william, tehama county/state of california, superior court, judge- tehama county superior judge
255, skiles, jonathan, mark, fresno county superior court, , judge
256, sirna, salvatore, t., los angeles superior court, east district, judge
257, singer, carla, m., superior court-orange county, , superior court judge
258, sing, lillian, k, s.f. superior court judge, , 
259, sinanian, zaven, v., superior court of california, county of los angeles, judge
260, simpson, c., edward, superior court - los angeles, , judge
261, simpson, alan, michael, superior court of california, county of fresno, superior court judge
262, simons, mark, b., court of appeal sate of california, first appellate district, associate judge
263, simonds, dana, beernink, sonoma county superior court, , superior court judge
264, simmons, kelly vieira, by: e. ramazzura deputy, marin county superior court, , judge
265, silvers, jessica, perrin, superior court judge, los angeles, 
266, silverman, b., scott, los angeles superior court, central district, judge
267, silver, shari, kreisler, los angeles superior court judge, , 
268, silveira, marie, , superior court, stanislaus county, judge
269, silberman, harvey, a., los angeles superior court, , judge
270, silbar, clandia, , superior court of california - county of orange, superior court, judge
271, siggins, peter, john, california court of appeal, first appellate district division three, associate justice
272, siefkin susan, susan, , superior court of stanislaus county judge, , 
273, sichel, elsabeth, , superior court of california - county of riverside, , judge
274, shubin, dorothy, lynn, superior court of los angeles county, , judge
275, shore, howard, h, san diego superior court, n/a, judge of the superior court
276, shirk, jennifer, , tulare county superior court, visalia division, judge
277, sherman, randall, jeffrey, superior court orange county, , superior court judge
278, shelton, roderick, ward, san diego superior court, n/a, judge of the superior court
279, sheldon, charles, d, los angeles superior court, south district, judge
280, shapiro, norm, j., superior court los angeles judge, , 
281, shapero, kenneth, l, santa clara county superior court, , judge
282, shamoon polly h., , , san diego superior court, n/a, judge of the superior court
283, shaller, frederick, carl, superior court county of los angeles, d : 46 mosk court house, judge
284, shaffer, nancy, case, sonoma county superior court, , judge
285, sevier, gerald, , tulare county superior court, visalia division, judge
286, sepulveda, patricia, k., court of appeal, first district div 4, associate justice
287, segal, john, l, california superior court, los angeles county, superior court judge
288, seeman, paul, daniel, alameda county superior court, , judge
289, see, ramona, gail, los angeles superior court judge, , 
290, seaver, r, carlton, los angeles superior court, , judge
291, seave, paul, l., sacramento county superior court, , judgeship
292, scrogin, julia, l., yube county superior court, department iii, superior court judge
293, scott, william stephen, stephen, san joaquin county court, , judge
294, scott, russell, d., superior court of california county of monterey, , judge
295, scott, joseph, c., superior court of california county of san mateo, , judge
296, scott, daphne, sykes, superior court judge, orange county, 
297, schwarz, shawna, marie, superior court of santa clara county, , superior court judge
298, schwartz teri, i, , los angeles superior court   judge, , 
299, schwartz, keith, l, los angeles superior court judge, , 
300, schwartz, bernard, julian, riverside superior court, , judge
301, schwarm walter, palmer, , superior court orange county superior court judge, , 
302, schumann, tam, bk, superior court county of orange superior court judge, , 
303, schulte, mury, fingal, orange county superior court supervising judge probate, , 
304, schuit, robert, john, superior court, , judge of the superior court
305, schuett, stephen, d., superior court of california, county of kern, judge
306, schneiderjr., wilfred, j., superior court of california county of san bernardino, civil division, superior court judge
307, schneider, alan, k, los angeles superior court     superior court judge, , 
308, schnegg, patricia, mary, los angeles superior court judge, , 
309, scheuler, richard, bryan, tehama county superior court judge, , 
310, scheper, barbara, m, los angeles county superior court, central, judge
311, schall, lisa, , san diego superior court, n/a, judge of the superior court
312, scanlon, patricia, mary, contra costa county superior court, , judge
313, sawtelle, ernest, wayne, sacramento county superior court, , judge
314, savage, michael, allen, sacramento county superior court, , judge of the superior court
315, sautner, stephanie, , los angeles superior court judge, , 
316, saunders, reginald, p, alameda county superior court, , judge
317, saunders, brian, d, superior court of california, san bernardino district, superior court judge
318, saucedo, valeriano, (nmn), tulare county superior court, , judge
319, sarmientosalvador, , bf, superior court orange county, , 
320, sarmiento, cesar, c, los angeles superior court judge, , 
321, sarkisian, edward jr., , superior court county of fresno, state of california, county of fresno - judge
322, santana, ray, finance section, los angeles superior court - judge, , 
323, sanora, steven, paul, los angeles superior court, east district, judge
324, sandvig, melvin, d, los angeles superior court, dept f47 north valley, north valley didtrict judge
325, sandoval, jose, i, los angeles county superior ct. - judge, , 
326, sandoval, gerardo, campos, san francisco superior court, criminal, judge
327, sanderson, houry, a, superior court fresno county, , judge
328, sanders, steven, r, superior court state of california judge, county of san benito, judge
329, sanders, glenda, (none)deputy, superior court orange county, , superior court judge
330, sanchez, yuonne theresa, resa, los angeles superior court judge, , 
331, sanche2- giroon, teresa, officer/clerk os angeles, los angeles superior court judge, , 
332, sanchez, deborah, l., judge of the superior court judge, southeast district, 
333, samuels, shellie, l, l.a. county superior ct judge, , 
334, salter, timothy, wayne, superior court of stanislaus county, , judge
335, salter, glenn, robert, superior court orange county superior court judge, , 
336, salkin, valerie, , la superior court, metro courthouse, judge
337, saleson, stephan, gray, superior court, county of san bernardino/rancho cucamonga district, judge
338, salazar, john, steven, superior court of california county of santa cruz, , superior court judge
339, saito, timothy, rex, los angeles superior court, juvenile dependency, judge
340, sahagun, raul, anthony, los angeles county superior court judge, , 
341, sachs, michael, a., superior court, county of san bernardino/rancho cucamonga district, judge
342, sabet, shahla, s., superior court county of san bernardino, rancho cucamonga district, judge
343, ryu, tammy, chung, superior court judge, los angeles county, 
344, rylaarsdam, william, f, california court of appeal, district 4 division 3, associate justice
345, ryan, william, c., los angeles county superior court judge, , 
346, ryan, deborah, ann, superior court of california - county of santa clara, , judge
347, ruvolo, ignazio, john, court of appeal, first district division 4, presiding justice
348, rushton, michael, joseph, riverside county superior court, , superior court judge
349, rushing, conrad, l, court of appeal, sixth appellate district, administrative presiding justice
350, ruggiero, james, , superior court shasta county, , judge
351, rubwson, thomas, , los angeles superior court, van nuys (northwest) district, judge
352, rubin, rand, steven, superior court judge judge, central district, los angeles
353, rubin, laurence, d, court of appeal, second appellate district, justice
354, rubin, david, morris, san diego superior court, n/a, judge of the superior court
355, rothschild, frances, deputy clerk, court of appeal, second appellate district, justice
356, rotenberg, frederick, r, los angeles superior court   judge, , 
357, ross, roger, , superior court of california, , judge
358, ross, jeffrey, steven, san francisco superior court, , judge
359, rosenfield, alan, s., superior court, los angeles, judge
360, rosenblatt, michelle, r., los angeles superior court judge, , 
361, rosenberg gerald, , , superior court of california, county of los angeles west district, judge
362, rosenberg, david, , yolo superior court, department 4, presiding judge
363, rose, ronald, h, los angeles superior court judge, , 
364, rosales, olivia, , los angeles superior court judge, , 
365, roper, glade, f, tulare county superior court, , judge
366, romero richard, richard, roy, los angeles superior court, south district, judge
367, roman, jaime, rene, superior court of california, sacramento county, superior court judge
368, rolefson, jon, rodger, superior court of california, county of alameda, judge
369, thomas charles, charles rogers, rogers, alameda couney superior court, , superior court judge
370, rogers randolp, randolph, allen, superior court state of california, county of los angeles, judge
371, rogers, charles, g., san diego superior court, n/a, judge of the superior court
372, rogan, james, edward, superior court state of california, , judge of the superior court
373, roesch frank, , laugaz, alameda county superior court, , judge
374, rodriguez luis, , bk, superior court orange county superior court judge, , 
375, rodriguez, jesse, i., los angeles superior court, long beach south, judge
376, rochman, morton, , superior court, los angeles county, judge
377, robison, craig, edward, superior court orange county judge, , 
378, robinson, karen, l., orange county superior court, , superior court judge
379, robie, ronald, boyd, court of appeal, third district, associate justice
380, robertson ii, armand, james, san francisco superior court, , judge of the superior court
381, roberts, timothy, paul, superior court monterey county, , judge
382, roberts (aka schill), barbara, louise, butte county superior court, dept 9, judge
383, robbins roger, roger, b, judge nocje dn3, , 
384, rizk, georgina, torres, los angeles superior court, , 
385, rivera, maria, pamela, first district court of appeal, division four, associate justice
386, ritchie, james, r., marin county superior court, , judge
387, ritchie, diane, , santa clara county superior court, , judge
388, riley, rebecca, susan, superior court of the state of california, country of ventura, judge
389, rigby, mitchell, c., superior court of california, county of madesa, judge
390, rigali, james, f, santa barbara county superior court superior court judge, santa maria courthouse, 
391, riemer, craig, grant, superior court of california county of riverside, department 5, judge of the superior court
392, rico, richard, edward, superior court, , judge
393, richmond, david, s., amador county superior court, , assistant presiding judge
394, richman, james, anthony, court of appeal, first appellate district, assoc justice
395, richman, craig, robert, los angeles county superior court, , judge
396, richli, betty, a., fourth district court of appeal, division two, associate justice
397, richardson, paul, k., superior court of california, county of yolo, judge
398, rice, stuart, mark, superior court of ca county of los angeles, southwest, superior court judge
399, ricciandulli, alex, , los angeles superior court, , judge
400, rhynes, gloria, faye, alameda county superior court judge, , 
401, rhodes, randy, , los angeles superior court, north valley district, judge
402, reyes, dorothy, baker, los angeles superior court, , judge
403, revel, marsha, n, los angeles superior court superior court judge, , 
404, reiser, glen, michael, ventura county superior court, , judge
405, reinholtsen, dale, a., superior court county of humboldt, , judge
406, reilly, tara, , superior court of california, county of san bernardino, superior court judge
407, reilley, james, francis, superior court of california, , judge
408, reid, john, h., superior court - los angeles, , judge
409, reichert, stanford, emil, san bemardino superior court, , judge
410, rehm jr., carol henry, henry, los angeles superior court  judge, , 
411, reeves, dawna, frenchie, stanislaus county superior court, , judge
412, reed, melinda, m, tulare county superior court, , 
413, reed, david, w, yolo superior court, , judge
414, recana, mel, ren, california superior court judge, for the county of los angeles, 
415, reardon, timothy, a., calif. court of appeal first appellate dist., , associate justice
416, reardon, thomas, matthew, alameda county superior court, , judge
417, rayvis, cynthia, , los angeles superior court, , judge
418, raye, vance, w, third district court of appeal, , presiding justice
419, rappe curtts, curtis, b, superior court judge of the superior court, , 
420, ramon, hector, enrigue, superior court of california county of santa clara, , judge
421, ramirez, manuel, a., court of appeal, fourth district division two, presiding justice
422, ramirez, daniel, pena, superior court judge, superior court los angele, los angeles
423, quinn, linda, buelhauf, san diego superior court, n/a, judge of the superior court
424, quidachay, ronald, evans, san francisco superior court, , 
425, pulido, stephen, mark, alameda county superor, , presiding judge of family law
426, provost, eleanor, , superior court, tuolumne county, judge
427, proud, daniel, b, eldokedo county sup.dt.-judge, , 
428, proietti, donald, , merced superior court, , superior court judge
429, priver, laura, f, los angeles superior court, , judge
430, prickett, gregory(gregg), leonard, state of california - super court, county of orange, 
431, price, diane, marie, napa superior court judge, , 
432, prevost, jeffrey, jarvis, superior court of california, county of riverside, judge
433, pressman, joel, m, san diego superior court, n/a, judge of the superior court
434, premo, eugene, m, court of appeal, sixth district, associate justice
435, preckel, allan, john, san diego superior court, n/a, judge of the superior court
436, prager, ronald, s, san diego superior court, n/a, judge of the superior court
437, powers, margaret, a, superior court of san bernardino county, division board department district if applicable, judge
438, power, david, edwin, , solano county superior court, judge
439, powell, william, jefferson, superior court, san bernardino county, judge
440, powazek, harry, l., san diego superior court, n/a, judge of the superior court
441, poochigian, charles, s., california court of appeal, fifth appellate district, associate justice
442, poncin, lynn, m, county of san bernaridno superior court, , judge
443, pollard, nancy, a, superior court orange county superior court judge, , 
444, pollak, stuart, r, court of appeal, first district division 3, associate justice
445, pollack, gregory, w, san diego superior court, n/a, judge of the superior court
446, poche, marcel, b., superior court of california, county of santa clara, 
447, pluim, jan, a, los angeles superior court judge, pasadena ne dist., 
448, plourd, christopher, john, imperial county superior court, #2, judge
449, pirozzi, elia, v., superior court of san bernardino county, division board department district if applicable, superior court judge
450, pineschi, alan, v, superior court of california superior court judge, placer county, 
451, pierce, mark, hanson, superior court, , 
452, pierce, james, brian, superior court - los angeles judge, , 
453, pichon, rise, jones, santa clara county superior court, , judge
454, picetti, gary, michael, california courts superior court judge, , 
455, phimister, douglas, c, el dorado county superior court, div 7, judge
456, phillips, craig, gene, superior court of california, county of kern, judge
457, pham, cheri, thi, superior court orange county judge, , 
458, pfahler, stephen, p, superior court state of california judge, , 
459, petrucelli, james, m, superior court of california county of fresno, , superior court judge
460, petrou, ioana, , superior court of the state of california, alameda county, judge
461, peterson, dennis, alan, superior court of california, , 
462, petersen, mark, edward, superior court of california county of riverside, southwest justice center, judge
463, persky, michael, aaron, santa clara county superior court, , superior court judge
464, perry, robert, jordan, los angeles superior court, , judge
465, perren, steven, zalkind, court of appeal, second appellate district, justice
466, perluss, dennis, m, court of appeal, second appellate district, justice
467, perkins, , g, superior court of california county of sacramento, , judge
468, perk, steven, l, orange county superior court, , superior court judge
469, perez, joe, teel, superior court orange county, , superior court judge
470, pennypacker, philip, howard, santa clara - superior court, , superior court judge
471, penney, jeffrey, scott, placer county superior court judge, , 
472, penner, don, d., superior court for the county of fresno, , superior court judge
473, pena, rosendo, , superior court of california, county of fresno, judge
474, pellman, amy, m, superior court, central, judge
475, peel, richard, vernard, superior court of california, county of san bernadino, judge of the superior court
476, paul, roy, l, los angeles superior court judge, , 
477, pastor, michael, edward, superior court judge, los angeles, judge
478, parsons, craig, l., superior court of californiacounty of san mateo, department 9, judge
479, parsky, laura, h, san diego superior court, n/a, judge of the superior court
480, parrish, wayne, richard, superior court/trial courts judge, , 
481, parker, perry, , superior courtsutter co d, , 
482, panetta, carrie, mcintyre, superior court superior court judge, alameda county, 
483, palmer, william, d, superior court of california, county of kern, judge
484, palmer, charles, francis, los angeles county superior court judge, , 
485, palazuelos, yvette, marie, la superior court judge, state of california, 
486, paer, gary, scott, superior court orange county superior court judge, , 
487, paden, gery, lewis, tulare county superior court, , judge
488, pachelo, randall, f., los angeles county superior court, , judge
489, pacheco, john, m, superior court of california county of san bernardino, civil division, superior court judge
490, pace, annemarie, georgina, san bernardino county superior court, , judge
491, overton, carol, weinstein, superior court of california, county of santa clara, superior court judge
492, ottolia, daniel, alexander, riverside county superior court, , superior court judge
493, otto, james, daniel, superior court ca county of los angeles, , judge
494, ottenweller, peter, k, sonoma superior court, , judge
495, osorio, benny, cornelio, los angeles superior court judge, , 
496, orozco, yolanda, , los angeles county superior court, , judge
497, orozco, gary, rico, fresno county superior court, , superior court judge
